date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:44	2969/2969	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:31%20GMT	http://webmarce.com/html/education/extra-images/news-grid-thumb-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-thumb-2.png	(from http://webmarce.com/html/education/index.html)
11:14:45	3071/3071	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:31%20GMT	http://webmarce.com/html/education/extra-images/news-grid-thumb-3.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-thumb-3.png	(from http://webmarce.com/html/education/index.html)
11:14:46	56554/56554	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:22%20GMT	http://webmarce.com/html/education/extra-images/news-grid-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-1.png	(from http://webmarce.com/html/education/index.html)
11:14:47	4458/4458	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:23%20GMT	http://webmarce.com/html/education/extra-images/university-partners-1.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-1.png	(from http://webmarce.com/html/education/index.html)
11:14:47	37401/37401	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:22%20GMT	http://webmarce.com/html/education/extra-images/news-grid-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-2.png	(from http://webmarce.com/html/education/index.html)
11:14:48	5728/5728	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:25%20GMT	http://webmarce.com/html/education/extra-images/university-partners-2.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-2.png	(from http://webmarce.com/html/education/index.html)
11:14:48	6381/6381	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:25%20GMT	http://webmarce.com/html/education/extra-images/university-partners-3.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-3.png	(from http://webmarce.com/html/education/index.html)
11:14:48	4504/4504	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:26%20GMT	http://webmarce.com/html/education/extra-images/university-partners-4.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-4.png	(from http://webmarce.com/html/education/index.html)
11:14:49	5184/5184	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:27%20GMT	http://webmarce.com/html/education/extra-images/university-partners-5.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-5.png	(from http://webmarce.com/html/education/index.html)
11:14:49	49851/49851	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:28:25%20GMT	http://webmarce.com/html/education/extra-images/news-grid-3.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/news-grid-3.png	(from http://webmarce.com/html/education/index.html)
11:14:49	7358/7358	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2017:30:28%20GMT	http://webmarce.com/html/education/extra-images/university-partners-6.png	E:/second_site/second_site/webmarce.com/html/education/extra-images/university-partners-6.png	(from http://webmarce.com/html/education/index.html)
